2026-05-10 20:27:50 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:50 | INFO     | core.engine | MarketEvent BTC: price=81427.50, funding=-0.000007, predicted=N/A, oi=29400.96, agg_funding=0.000023, agg_oi=8,179,874,720, exchanges=3, spread=0.0025%, oir=-0.995, depth=0.035, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:50 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.65
2026-05-10 20:27:50 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:50 | INFO     | core.engine | MarketEvent ETH: price=2364.65, funding=0.000013, predicted=N/A, oi=532470.56, agg_funding=0.000063, agg_oi=5,008,014,523, exchanges=3, spread=0.0042%, oir=-0.555, depth=0.425, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:50 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.71
2026-05-10 20:27:50 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:50 | INFO     | core.engine | MarketEvent SOL: price=96.71, funding=0.000028, predicted=N/A, oi=4700052.16, agg_funding=0.000025, agg_oi=1,153,103,490, exchanges=3, spread=0.0010%, oir=-0.817, depth=0.214, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:51 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:51 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81425.50
2026-05-10 20:27:51 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:51 | INFO     | core.engine | MarketEvent BTC: price=81425.50, funding=-0.000007, predicted=N/A, oi=29400.35, agg_funding=0.000023, agg_oi=8,179,874,720, exchanges=3, spread=0.0012%, oir=-0.996, depth=0.067, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:51 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.45
2026-05-10 20:27:51 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:51 | INFO     | core.engine | MarketEvent ETH: price=2364.45, funding=0.000013, predicted=N/A, oi=532470.56, agg_funding=0.000063, agg_oi=5,008,014,523, exchanges=3, spread=0.0042%, oir=-0.206, depth=0.495, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:51 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.75
2026-05-10 20:27:51 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:51 | INFO     | core.engine | MarketEvent SOL: price=96.75, funding=0.000027, predicted=N/A, oi=4700052.16, agg_funding=0.000025, agg_oi=1,153,103,490, exchanges=3, spread=0.0010%, oir=-0.034, depth=0.611, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:52 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:52 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81425.50
2026-05-10 20:27:52 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:52 | INFO     | core.engine | MarketEvent BTC: price=81425.50, funding=-0.000007, predicted=N/A, oi=29400.35, agg_funding=0.000023, agg_oi=8,179,874,720, exchanges=3, spread=0.0012%, oir=-0.988, depth=0.080, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:52 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.45
2026-05-10 20:27:52 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:52 | INFO     | core.engine | MarketEvent ETH: price=2364.45, funding=0.000013, predicted=N/A, oi=532470.56, agg_funding=0.000063, agg_oi=5,008,014,523, exchanges=3, spread=0.0042%, oir=-0.218, depth=0.492, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:52 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.75
2026-05-10 20:27:52 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:52 | INFO     | core.engine | MarketEvent SOL: price=96.75, funding=0.000027, predicted=N/A, oi=4700053.20, agg_funding=0.000025, agg_oi=1,153,103,490, exchanges=3, spread=0.0010%, oir=0.310, depth=0.554, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:53 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:53 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81425.50
2026-05-10 20:27:53 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:53 | INFO     | core.engine | MarketEvent BTC: price=81425.50, funding=-0.000007, predicted=N/A, oi=29400.35, agg_funding=0.000023, agg_oi=8,179,874,720, exchanges=3, spread=0.0012%, oir=-0.988, depth=0.073, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:53 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.45
2026-05-10 20:27:53 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:53 | INFO     | core.engine | MarketEvent ETH: price=2364.45, funding=0.000013, predicted=N/A, oi=532470.94, agg_funding=0.000063, agg_oi=5,008,014,523, exchanges=3, spread=0.0042%, oir=-0.214, depth=0.497, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:53 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.75
2026-05-10 20:27:53 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:53 | INFO     | core.engine | MarketEvent SOL: price=96.75, funding=0.000027, predicted=N/A, oi=4700053.20, agg_funding=0.000025, agg_oi=1,153,103,490, exchanges=3, spread=0.0010%, oir=0.223, depth=0.542, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:54 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:54 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81425.50
2026-05-10 20:27:54 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:54 | INFO     | core.engine | MarketEvent BTC: price=81425.50, funding=-0.000007, predicted=N/A, oi=29400.35, agg_funding=0.000023, agg_oi=8,179,874,720, exchanges=3, spread=0.0012%, oir=-0.988, depth=0.073, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:54 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.45
2026-05-10 20:27:54 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:54 | INFO     | core.engine | MarketEvent ETH: price=2364.45, funding=0.000013, predicted=N/A, oi=532470.94, agg_funding=0.000063, agg_oi=5,008,014,523, exchanges=3, spread=0.0042%, oir=-0.214, depth=0.497, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:54 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.75
2026-05-10 20:27:54 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:54 | INFO     | core.engine | MarketEvent SOL: price=96.75, funding=0.000027, predicted=N/A, oi=4700053.20, agg_funding=0.000025, agg_oi=1,153,103,490, exchanges=3, spread=0.0010%, oir=0.261, depth=0.563, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:55 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:55 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81425.50
2026-05-10 20:27:55 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:55 | INFO     | core.engine | MarketEvent BTC: price=81425.50, funding=-0.000007, predicted=N/A, oi=29400.35, agg_funding=0.000023, agg_oi=8,179,874,720, exchanges=3, spread=0.0012%, oir=-0.989, depth=0.070, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:55 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.45
2026-05-10 20:27:55 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:55 | INFO     | core.engine | MarketEvent ETH: price=2364.45, funding=0.000013, predicted=N/A, oi=532542.36, agg_funding=0.000063, agg_oi=5,008,014,523, exchanges=3, spread=0.0042%, oir=-0.258, depth=0.490, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:55 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.75
2026-05-10 20:27:55 | INFO     | core.engine | Processing market event for SOL
2026-05-10 20:27:55 | INFO     | core.engine | MarketEvent SOL: price=96.75, funding=0.000027, predicted=N/A, oi=4700053.20, agg_funding=0.000025, agg_oi=1,153,103,490, exchanges=3, spread=0.0010%, oir=-0.231, depth=0.460, imbalance=0.028392136471337814, adx=N/A
2026-05-10 20:27:56 | INFO     | exchanges.hyperliquid_ws | Parsed allMids: 561 prices published
2026-05-10 20:27:56 | INFO     | data.candle_builder | CandleBuilder received price: BTC = 81424.50
2026-05-10 20:27:56 | INFO     | core.engine | Processing market event for BTC
2026-05-10 20:27:56 | INFO     | core.engine | MarketEvent BTC: price=81424.50, funding=-0.000007, predicted=N/A, oi=29400.35, agg_funding=0.000023, agg_oi=8,179,874,720, exchanges=3, spread=0.0012%, oir=-0.996, depth=0.029, imbalance=0.27470650773130323, adx=N/A
2026-05-10 20:27:56 | INFO     | data.candle_builder | CandleBuilder received price: ETH = 2364.45
2026-05-10 20:27:56 | INFO     | core.engine | Processing market event for ETH
2026-05-10 20:27:56 | INFO     | core.engine | MarketEvent ETH: price=2364.45, funding=0.000013, predicted=N/A, oi=532542.36, agg_funding=0.000063, agg_oi=5,008,014,523, exchanges=3, spread=0.0042%, oir=-0.537, depth=0.345, imbalance=-0.005782329370916277, adx=N/A
2026-05-10 20:27:56 | INFO     | data.candle_builder | CandleBuilder received price: SOL = 96.74
2026-05-10 20:27:56 | INFO     | core.engine | Processing market event for SOL
